file	size_view	view	strength	algo	F1_score
magic.arff	3	1	0.278438350602608	NaiveBayes	0.55014385107983
magic.arff	3	2	0.142760337158903	NaiveBayes	0.37816182064222
magic.arff	3	3	0.270971625480435	NaiveBayes	0.437454658922009
magic.arff	3	4	0.156013782072885	NaiveBayes	0.453777800334153
magic.arff	3	5	0.354022574131108	NaiveBayes	0.579445054823693
magic.arff	3	6	0.164240936976896	NaiveBayes	0.367608447785995
magic.arff	3	7	0.37054275070002	NaiveBayes	0.584760024062579
magic.arff	3	8	0.32743613738374	NaiveBayes	0.598845695861726
magic.arff	3	9	0.494944801596636	NaiveBayes	0.597107881345882
magic.arff	3	10	0.190965243579702	NaiveBayes	0.37060034312962
magic.arff	3	11	0.203740128756118	NaiveBayes	0.463628311360212
magic.arff	3	12	0.543279317135022	NaiveBayes	0.621613436761639
magic.arff	3	13	0.167097324935446	NaiveBayes	0.460154914955014
magic.arff	3	14	0.218276743674354	NaiveBayes	0.44543312121664
magic.arff	3	15	0.241248257452753	NaiveBayes	0.437887335168268
magic.arff	3	16	0.563125409621037	NaiveBayes	0.585082696250124
magic.arff	3	17	0.142760337158927	NaiveBayes	0.37816182064222
magic.arff	3	18	0.371883960859011	NaiveBayes	0.591382337916042
magic.arff	3	19	0.189035237692243	NaiveBayes	0.429390506256456
magic.arff	3	20	0.421182177775494	NaiveBayes	0.595105197667196
magic.arff	3	21	0.15085035353608	NaiveBayes	0.442769504806466
magic.arff	3	22	0.27090323871515	NaiveBayes	0.383661123245805
magic.arff	3	23	0.354766780623526	NaiveBayes	0.622188140727531
magic.arff	3	24	0.0835745600591098	NaiveBayes	0.365893614512361
magic.arff	3	25	0.264736456363403	NaiveBayes	0.441147210273183
magic.arff	3	26	0.235586992064828	NaiveBayes	0.382866987902783
magic.arff	3	27	0.132650596452707	NaiveBayes	0.44400477039537
magic.arff	3	28	0.139373938568147	NaiveBayes	0.379714344788822
magic.arff	3	29	0.304349757412394	NaiveBayes	0.594295261645462
magic.arff	3	30	0.279741736354575	NaiveBayes	0.433226681263497
magic.arff	3	31	0.4513714362811	NaiveBayes	0.589054296230123
magic.arff	3	32	0.368705383496663	NaiveBayes	0.596652726875822
magic.arff	3	33	0.0940871704293986	NaiveBayes	0.36773270244416
magic.arff	3	34	0.247924001459065	NaiveBayes	0.427461132474257
magic.arff	3	35	0.259664166418162	NaiveBayes	0.449241304215623
magic.arff	3	36	0.391233409093354	NaiveBayes	0.572782786676759
magic.arff	3	37	0.247992158339262	NaiveBayes	0.431602773738299
magic.arff	3	38	0.211735606461501	NaiveBayes	0.460161599148642
magic.arff	3	39	0.220827916879976	NaiveBayes	0.459289057889985
magic.arff	3	40	0.148945507018558	NaiveBayes	0.413148538588834
magic.arff	3	41	0.192115356077483	NaiveBayes	0.443406462986495
magic.arff	3	42	0.226415971329432	NaiveBayes	0.446095164048921
magic.arff	3	43	0.465541326694026	NaiveBayes	0.589787164231934
magic.arff	3	44	0.154253308047899	NaiveBayes	0.441065004894515
magic.arff	3	45	0.259664166418098	NaiveBayes	0.449241304215623
magic.arff	3	46	0.39030130737846	NaiveBayes	0.618035402597933
magic.arff	3	47	0.432380077830427	NaiveBayes	0.571832349342038
magic.arff	3	48	0.106375841435539	NaiveBayes	0.184837689124694
magic.arff	3	49	0.143255222802104	NaiveBayes	0.37124437365012
magic.arff	3	50	0.241393210086663	NaiveBayes	0.430512782866205
magic.arff	3	51	0.319759151102147	NaiveBayes	0.590465775174549
magic.arff	3	52	0.423260558739898	NaiveBayes	0.579554166223599
magic.arff	3	53	0.0858023834840562	NaiveBayes	0.379788502598877
